Prompt,Score,Nwords,Frequency
B,4.5,421,3.255838377
B,3.5,419,3.192489576
B,4,326,3.30321392
B,5,496,2.980947167
B,4,353,3.148353099
B,5,436,3.160520354
B,5,329,3.187237795
B,5,399,3.387347069
B,4,302,3.263539778
B,4,377,3.291436359
B,5,390,3.093005918
B,3.5,266,3.194411558
B,5,370,3.038466381
B,5,410,3.139192271
B,4,416,3.320587242
B,3.5,399,3.346618997
B,5,319,3.218355368
B,4.5,324,3.13247509
B,4.5,307,3.082964774
B,4,323,3.247216475
B,4.5,323,3.206777834
B,4.5,393,3.275040164
B,5,336,3.24624893
B,5,322,3.207523466
B,4.5,426,3.095843889
B,4.5,383,3.301318525
B,4.5,352,3.192056556
B,5,362,3.144501457
B,4.5,443,3.221385025
B,3,332,3.313789751
B,3.5,327,3.190217058
B,4.5,290,3.226874259
B,4,322,3.17696175
B,4,341,3.186210989
B,3.5,309,3.270380091
B,4,429,3.181069704
B,4.5,324,3.262846453
B,3.5,339,3.151408575
B,2.5,159,3.290676589
B,2,180,3.174892381
B,3.5,318,3.32167112
B,4,346,3.220161835
B,3,238,3.21786758
B,3,321,3.314656283
B,3.5,373,3.153107699
B,3,289,3.081504197
B,4,326,3.352270215
B,2,155,3.228971755
B,2.5,240,3.181845861
B,4,349,3.250928083
B,3.5,240,3.239689223
B,3,246,3.19941111
B,4,332,3.159644148
B,3.5,302,3.121498428
B,4,344,3.195367932
B,3,273,3.159877731
B,5,570,3.007411922
B,4.5,365,3.243047691
B,3.5,400,3.185538651
B,2,279,3.384504287
B,4,290,3.233561207
B,2.5,286,3.275853491
B,3,347,3.273803305
B,3,263,3.361381467
B,4.5,312,3.368480623
B,3,315,3.202495466
B,4,327,3.2791422
B,3.5,216,3.379254195
B,3,276,3.33707318
B,4.5,335,3.169359639
B,4,350,3.254315343
B,4.5,297,3.198802265
B,3.5,318,3.276258493
B,3,295,3.291506665
B,2,223,3.281156713
B,4,322,3.188656855
B,3,333,3.362773675
B,5,341,3.171673913
B,4.5,476,3.265735964
B,5,351,3.151440948
B,3.5,337,3.139175426
B,4.5,313,3.245021567
B,5,399,3.264423158
B,3.5,259,3.407897065
B,4,343,3.22825134
B,2,133,3.227822891
B,3,508,3.176659399
B,3.5,298,3.273984885
B,2,198,3.135859771
B,4,433,3.22839417
B,4.5,394,3.207376133
B,3,316,3.271225617
B,3,225,3.19462627
B,3,261,3.307475734
B,2.5,242,3.201275761
B,4.5,334,3.305015851
B,2,270,3.306538086
B,3,233,3.236900691
B,3.5,285,3.25608919
B,3.5,286,3.263948806
B,3.5,352,3.129676206
B,5,379,3.298092992
B,4.5,328,3.243965718
B,4.5,318,3.13976799
B,4.5,474,3.194668807
B,4,550,3.189563268
B,1,87,3.188650196
B,2.5,269,3.308934509
B,4,336,3.260928108
B,5,297,3.148502183
